Length,Elapsed Time,L1 Cache miss,L2 Cache miss,L3 Cache miss,Num of instructions
55808,14.858001,48739,47107,435,126446902
55936,14.895000,49040,42272,192,126728618
56064,14.884001,49008,43836,208,126985545
56192,14.934001,48811,42279,273,127201385
56320,14.970000,49568,48719,149,127568180
56448,15.016001,48988,46201,215,127780653
56576,15.085001,49594,51525,210,128055038
56704,15.079000,49707,46826,236,128348720
56832,15.136001,50803,50369,239,128716770
56960,15.139001,49689,47283,191,128939208
57088,15.190001,50878,47856,215,129172514
57216,15.174001,50454,47718,219,129535338
57344,15.266001,51400,48837,240,129871018
57472,15.265000,51418,45387,278,130220618
57600,15.328001,51812,49006,201,130492042
57728,15.385001,51652,49004,243,130689058
57856,15.579000,52382,51550,496,130946708
57984,15.394001,52440,52861,283,131180238
58112,15.636001,52763,49034,209,131492121
58240,15.441001,51916,44830,230,131813645
58368,15.520000,52638,47032,205,132254011
58496,15.573001,52537,47191,167,132548332
58624,15.692000,52585,43610,642,132882776
58752,15.633000,53088,48551,197,133047559
58880,15.676001,52874,46659,151,133443942
59008,15.733001,52899,44934,211,133685455
59136,15.713000,52888,45200,248,133940665
59264,15.757001,53148,47166,107,134235044
59392,15.840942,52744,51041,238,134675053
59520,15.876000,53905,48301,258,135063719
59648,15.884001,53752,47733,213,135253070
59776,15.909000,53594,51389,144,135479355
59904,15.968000,53172,47702,218,135852335
60032,16.007000,53938,52541,266,136235460
60160,16.014000,53739,50903,225,136494723
60288,16.151001,54591,49573,311,136806667
60416,16.254002,54539,52868,236,137305809
60544,16.147001,54289,54035,238,137564863
60672,16.269001,54378,47300,334,137900423
60800,16.297001,54218,50281,238,138042589
60928,16.272001,53746,50576,266,138477085
61056,16.279001,54561,46803,334,138683262
61184,16.372002,54369,49757,214,138906152
61312,16.360001,55385,47118,225,139250264
61440,16.395000,54966,53404,193,139644522
61568,16.437000,55822,49866,281,139951597
61696,16.483002,56034,48702,234,140256125
61824,16.478001,55918,52156,177,140456883
61952,16.520000,55158,49285,209,140765611
62080,16.597000,55624,51368,241,141105670
62208,16.612001,54944,56048,212,141403559
62336,16.745001,56414,51990,306,141766845
62464,16.689001,55096,53823,226,142154909
62592,16.735001,56231,55831,233,142477696
62720,16.809000,56747,52020,203,142878853
62848,16.890001,56624,55233,288,143042694
62976,16.933001,57337,49519,259,143402580
63104,16.959002,57291,54392,231,143656582
63232,16.967001,57802,56971,245,143959811
63360,16.968000,57816,48200,269,144246255
63488,17.011002,58217,50988,184,144622420
63616,17.046001,58097,50062,211,144900757
63744,17.064001,57388,49884,255,145249366
63872,17.062000,58115,52647,147,145510105
64000,17.139000,58356,57623,146,145860082
64128,17.132000,58296,53394,165,146129683
64256,17.242001,58474,53057,309,146413852
64384,17.283001,59163,50894,253,146714358
64512,17.249001,58430,51779,267,147061494
64640,17.288000,59131,59825,245,147354130
64768,17.532001,59627,55616,235,147699922
64896,17.339001,59160,51441,283,147865858
65024,17.388000,59347,54869,263,148160754
65152,17.440001,59619,51925,249,148327560
65280,17.477001,60064,55917,251,148653953
65408,17.493000,59216,54881,192,148966187
65536,17.511002,59757,56186,310,149293356
65664,17.620001,59970,54845,209,149611347
65792,17.783001,59487,52438,207,149868236
65920,17.693001,59733,55538,183,150223452
66048,17.678001,60437,55815,295,150597090
66176,17.725000,60530,57021,270,150923354
66304,17.740002,60286,59562,240,151250954
66432,17.770000,60499,55391,186,151582182
66560,17.813002,60667,54074,271,151965946
66688,17.954000,61106,55635,229,152323702
66816,18.001001,61754,56139,173,152722500
66944,17.994001,61385,55032,285,152839573
67072,17.988001,61823,55666,232,153255075
67200,18.003000,61826,54323,313,153458338
67328,18.109001,61303,59576,390,153792337
67456,18.119001,61748,55098,345,153999497
67584,18.083000,62063,54840,351,154323302
67712,18.142000,62515,64504,343,154675407
67840,18.179001,62416,64173,234,154883624
67968,18.650002,64255,58741,206,155224411
68096,18.236000,62843,59172,201,155572404
68224,18.335938,63316,59963,339,155928607
68352,18.466002,63267,56844,263,156190906
68480,18.411001,63354,59755,280,156481867
68608,18.393002,63466,61806,228,156789798
68736,18.473001,64054,60497,313,157136777
68864,18.498001,63487,61334,294,157547131
68992,18.637001,64635,64232,306,157734860
69120,18.689001,64289,60717,251,158063497
69248,18.542002,65052,60172,398,158305973
69376,18.615002,64481,63088,278,158663744
69504,18.671001,64860,61298,247,159005966
