Length,Elapsed Time,L1 Cache miss,L2 Cache miss,L3 Cache miss,Num of instructions
61440,42.457001,154177,163478,703,384062906
61568,42.492001,154888,140794,877,384920839
61696,43.605003,154702,139401,672,385771592
61824,42.822002,155114,147761,664,386622345
61952,42.809002,154117,138700,716,387466057
62080,42.960003,156555,156903,763,388316949
62208,42.889004,157168,145586,714,389160661
62336,43.233002,157518,147536,802,390004373
62464,43.327003,158082,151399,786,390840909
62592,43.727001,163232,158340,1057,391691812
62720,43.603001,157116,150598,1009,392535512
62848,43.299004,158980,149387,681,393379224
62976,43.422001,158510,149592,541,394215897
63104,43.717957,160104,147955,820,395052658
63232,43.762001,160888,150837,677,395889302
63360,43.640003,160280,166577,749,396725973
63488,44.047001,159644,150711,876,397562442
63616,44.036003,160538,147639,589,398413336
63744,44.011002,160582,143621,548,399257049
63872,44.053001,160448,155615,611,400100761
64000,44.238003,160210,155867,1003,400937434
64128,44.429001,161666,154495,909,401781146
64256,44.235001,163704,164982,552,402617818
64384,44.483002,163078,156217,716,403454490
64512,44.543003,162491,152856,679,404283991
64640,44.640003,162931,171177,732,405127842
64768,44.800003,164909,162092,701,405964514
64896,44.791931,166049,159402,763,406801187
65024,44.962002,164093,153176,951,407630821
65152,45.112003,167388,155424,938,408467492
65280,45.457001,168458,160915,803,409297125
65408,45.335003,166465,159835,812,410126756
65536,45.356003,167107,160457,955,410948923
65664,45.448002,166175,153731,884,411879674
65792,45.790001,168027,163596,952,412803388
65920,45.724003,165822,160330,947,413727099
66048,45.664001,165853,158029,1037,414643771
66176,46.205002,169137,161747,707,415593341
66304,45.845001,167040,166858,712,416535869
66432,46.154003,170236,172214,875,417478396
66560,46.086002,169203,162826,877,418413886
66688,46.401001,171407,177141,989,419330537
66816,46.325001,172809,188147,924,420247209
66944,46.382004,171371,161308,1028,421163881
67072,46.585003,169284,164255,982,422073768
67200,47.019001,169254,168214,1032,422990443
67328,47.160004,169389,180324,1382,423900074
67456,46.988003,171025,163797,1018,424809704
67584,47.358002,173683,194092,3681,425712160
67712,47.374001,171820,173346,1111,426636015
67840,47.064003,173572,170379,671,427552686
67968,47.409000,171326,177032,778,428469358
68096,47.622002,174239,176236,1020,429378992
68224,47.616001,174283,169501,1029,430295664
68352,47.701004,172695,164912,1004,431205296
68480,47.788002,176328,164827,1007,432114928
68608,47.744003,174517,169760,934,433017522
68736,48.185001,177067,176237,1398,433934332
68864,48.202003,179413,173929,1514,434843967
68992,48.262001,178682,170673,915,435753597
69120,48.263000,177267,178160,865,436656191
69248,48.524002,177300,172766,1021,437565823
69376,48.552002,181104,168700,1156,438468415
69504,48.593002,179115,177636,1034,439371008
69632,48.594002,177957,178897,749,440266281
69760,48.900002,178238,179596,727,441190135
69888,49.043945,182558,171634,1182,442106808
70016,49.283001,178988,178935,1280,443023481
70144,49.212002,181025,186320,887,443933112
70272,49.153004,180476,173151,1130,444849785
70400,49.801003,183252,188415,1698,445759422
70528,49.770000,184253,180549,1498,446669052
70656,49.577003,181825,175275,906,447571643
70784,49.710003,184505,179539,1409,448488454
70912,49.860001,185438,186198,1039,449398087
71040,49.925003,185267,175930,1214,450307718
71168,50.131001,184660,182508,1269,451210311
71296,49.985001,185014,182085,1084,452119944
71424,50.448002,187249,182127,915,453022536
71552,50.555969,186828,186157,886,453925129
71680,50.394001,186605,187178,1221,454820545
71808,50.534004,188023,181674,832,455737216
71936,50.753002,189505,187217,1146,456646849
72064,50.710003,189551,182217,1351,457556481
72192,50.786003,189181,184458,1192,458459075
72320,50.961002,189803,184759,1185,459368707
72448,51.069004,191486,189999,1086,460271298
72576,51.086002,189575,183936,950,461173891
72704,51.502003,191956,189317,1700,462069445
72832,51.331001,194107,196393,1019,462979216
72960,51.498001,192999,185425,1130,463881808
73088,51.761963,193774,197370,1076,464784401
73216,51.789001,193862,191450,893,465679954
73344,51.912003,196790,194968,959,466582546
73472,52.050003,198254,196839,1209,467478097
73600,52.128002,194839,194219,971,468373650
73728,52.266003,198235,193929,989,469261741
73856,52.381004,196630,199326,1151,470185454
73984,52.480003,196147,196362,1307,471102126
74112,52.545002,199044,200413,904,472018798
74240,52.646004,198493,194271,1058,472928431
74368,52.633003,200986,203882,984,473845104
74496,52.476002,197676,188607,1023,474754736
74624,52.937927,199057,211872,1124,475664368
74752,53.047001,199302,202642,1127,476566962
74880,53.014004,200593,204808,1265,477483773
75008,53.391003,202182,208146,1342,478393406
75136,53.468002,204946,211391,1371,479303040
75264,53.269001,201671,186219,851,480205630
75392,53.471001,203367,207973,1064,481115263
75520,53.592003,202941,196536,1034,482017856
75648,53.781002,204814,209606,2151,482920448
75776,53.917004,205828,203199,1201,483815864
75904,53.883003,207082,224200,1299,484732678
76032,54.025002,207547,204391,952,485642309
76160,53.979004,205675,208496,1129,486551948
76288,54.230003,208775,216194,919,487454534
76416,54.314003,208251,206025,1361,488364168
76544,54.621002,208275,200456,1349,489266760
76672,54.518002,205498,202802,1285,490169351
76800,54.633003,207148,198675,1100,491064906
76928,55.128002,210176,205831,1150,491974677
77056,54.959003,210756,201542,1392,492877269
77184,55.173004,208234,204921,996,493779861
77312,55.255001,209149,198429,991,494675415
77440,55.295002,209667,204905,1011,495578007
77568,55.610962,210895,207191,2267,496473560
77696,55.205002,211209,204240,1259,497369110
77824,55.285004,208868,206222,1251,498257486
77952,55.311001,211606,200424,1263,499174299
78080,55.303001,213797,216706,1194,500083932
78208,55.186001,210758,210740,1285,500993564
78336,55.316002,215181,210142,1390,501896159
78464,55.715004,215424,210399,2040,502805791
78592,55.498001,214937,215322,1223,503708382
78720,55.856003,215490,218191,1037,504610975
78848,56.137001,214844,218502,1038,505506529
78976,55.946003,216216,213745,1002,506416300
79104,55.983002,214782,215189,1203,507318891
