Length,Elapsed Time,L1 Cache miss,L2 Cache miss,L3 Cache miss,Num of instructions
60288,52.378002,155696,163242,37588,376504698
60416,52.515930,155294,152516,21934,377341382
60544,52.674004,157632,168337,25099,378192263
60672,52.616001,155195,159294,22952,379035975
60800,52.793003,156722,165884,22901,379879687
60928,52.854004,156339,156096,22047,380716360
61056,53.054001,157917,155750,24780,381560212
61184,53.361004,158559,172229,23122,382396884
61312,53.244003,158462,160273,18510,383233555
61440,53.704002,157409,172003,26896,384062909
61568,53.465004,160297,165124,20884,384920843
61696,53.843002,164076,196225,37622,385771595
61824,53.814941,162996,187392,33794,386622347
61952,53.910004,160876,176292,30573,387466063
62080,53.862003,158952,164542,18150,388316951
62208,54.050003,161826,180060,25204,389160666
62336,54.154003,159038,168753,24063,390004375
62464,54.579002,159083,171010,26832,390840911
62592,54.284004,158105,157777,18056,391691801
62720,54.679001,161376,176844,16441,392535515
62848,54.577003,160924,170509,19725,393379227
62976,54.719002,163812,169881,20556,394215900
63104,54.946003,164107,177222,50446,395052663
63232,55.046936,163490,171241,18442,395889306
63360,55.215004,167017,176890,29891,396725977
63488,56.797001,174227,205417,52499,397562447
63616,55.263004,164057,173821,14915,398413339
63744,55.598003,169931,198915,19846,399257052
63872,55.912003,169786,192631,27549,400100766
64000,55.814003,168393,198716,17893,400937437
64128,55.868004,169784,201428,21647,401781149
64256,56.178001,173861,204242,29912,402617821
64384,56.173004,172887,198746,28187,403454495
64512,56.569004,168718,185127,49714,404283994
64640,56.248001,167301,179181,20825,405127846
64768,56.469002,169970,184055,31871,405964526
64896,56.482002,168653,189707,30626,406801190
65024,56.586002,168344,180680,17539,407630824
65152,56.928001,171779,180073,27665,408467496
65280,56.673004,170845,179107,17230,409297127
65408,56.852001,170843,176408,20965,410126758
65536,57.043003,170875,185095,15960,410948927
65664,58.056004,171194,194626,30732,411879678
65792,58.764004,179118,204038,49399,412803391
65920,57.481934,168487,184913,24573,413727102
66048,57.662003,172648,195857,33166,414643774
66176,57.654003,170924,168959,22359,415593343
66304,57.793003,172376,190576,16043,416535871
66432,58.001003,172388,188190,28228,417478401
66560,58.075005,170052,181277,21969,418413890
66688,59.338001,179755,205076,27741,419330540
66816,58.321003,175360,187002,18494,420247211
66944,65.025002,220613,237321,48909,421163886
67072,58.729004,171122,177925,29641,422073771
67200,62.364929,192175,228675,92567,422990443
67328,59.168003,173638,200611,31674,423900076
67456,59.024002,173220,183515,24486,424809707
67584,59.211002,174248,194137,28130,425712164
67712,59.447002,174409,194535,36211,426636018
67840,59.580002,174416,192583,31626,427552689
67968,60.161003,178636,195688,53343,428469362
68096,59.742004,175954,188124,22179,429378996
68224,60.069004,178855,198220,28475,430295666
68352,60.092003,177317,190738,30698,431205299
68480,60.173950,177455,195388,26770,432114931
68608,60.916004,187348,220280,37946,433017526
68736,62.326004,200627,225787,43883,433934339
68864,60.934002,185381,203201,32982,434843970
68992,60.943005,182249,204840,36968,435753602
69120,60.715004,180395,182905,23379,436656194
69248,60.947002,179405,185188,28133,437565826
69376,61.202003,185132,210252,32876,438468423
69504,61.519005,183537,215474,45083,439371011
69632,62.220001,189870,229220,50188,440266287
69760,61.584961,187872,213791,23807,441190138
69888,61.884003,191179,225083,29741,442106810
70016,61.851002,191723,230837,21707,443023483
70144,62.069004,191181,222404,21693,443933117
70272,62.353004,193516,229496,34797,444849792
70400,62.313004,193402,213444,24134,445759420
70528,62.490002,192862,228627,28181,446669056
70656,62.579002,192931,222263,26720,447571650
70784,62.679005,193243,219175,26991,448488458
70912,63.903004,205128,256616,53516,449398090
71040,62.979004,194057,222848,25975,450307723
71168,63.080002,189773,205955,26419,451210316
71296,63.037003,190994,197005,24614,452119947
71424,63.253002,189626,202497,35210,453022539
71552,63.784004,195304,217658,33205,453925135
71680,63.814003,197052,216950,33587,454820608
71808,63.612003,192174,204985,24646,455737221
71936,63.793003,193886,207366,30539,456646853
72064,64.882004,197364,223910,57944,457556485
72192,64.182983,194638,226102,25523,458459079
72320,64.453003,201625,238047,31195,459368712
72448,66.792000,221298,265499,46716,460271302
72576,64.591003,196227,219456,33312,461173895
72704,66.423004,218055,254109,51908,462069449
72832,65.058006,200259,236811,39759,462979222
72960,65.059006,196990,206663,24321,463881811
73088,65.882004,212424,250793,45707,464784405
73216,65.721001,203821,227677,50297,465679963
73344,65.423950,201950,222519,30949,466582554
73472,65.837006,201076,226241,38357,467478102
73600,65.675003,200708,206890,26315,468373655
73728,65.748001,199235,209754,29197,469261745
73856,66.215004,205828,237565,42870,470185460
73984,65.972000,202263,207650,29397,471102133
74112,66.044006,201446,204491,27316,472018801
74240,66.792000,209417,243316,42468,472928434
74368,66.840004,207944,226380,48314,473845109
74496,66.969971,202213,213495,33251,474754743
74624,66.901001,206937,221029,37811,475664374
74752,67.234001,211476,237754,40905,476566966
74880,66.866005,206595,221772,26595,477483777
75008,66.963005,206463,226034,32711,478393409
75136,67.313004,210285,239313,38403,479303041
75264,67.304001,208874,235734,31436,480205636
75392,67.384003,208834,219923,29537,481115270
75520,67.974007,209353,227751,30476,482017865
75648,67.731003,210660,226894,43861,482920451
75776,67.718002,208528,219988,27313,483815868
75904,67.773003,209217,225531,30098,484732685
76032,67.907005,208574,225819,31168,485642315
76160,69.740005,220926,257610,62152,486551949
76288,68.514000,216294,255687,31625,487454539
76416,68.423004,216119,254025,28215,488364171
76544,69.624001,221859,267637,68525,489266763
76672,69.718002,220568,265056,44855,490169355
76800,69.886002,230196,271684,70573,491064909
76928,68.818001,216104,243838,25592,491974682
77056,69.085007,213927,223673,32583,492877273
77184,68.915001,213323,213331,28198,493779864
77312,69.069000,212443,218666,38646,494675418
77440,69.512001,213024,231700,35026,495578011
77568,69.358002,214108,229844,31481,496473563
77696,69.740005,218153,245478,48258,497369115
77824,69.666000,215740,246828,34752,498257492
77952,69.923004,214389,233480,45458,499174304
78080,69.959000,216238,234435,35952,500083936
78208,69.960007,215896,238194,38324,500993572
78336,70.115005,215445,229347,30041,501896163
78464,70.286003,213738,229742,39019,502805795
78592,70.529007,216938,234062,43329,503708387
78720,70.522003,217823,242506,37884,504610980
78848,70.849007,222291,251409,41917,505506537
78976,70.886002,220707,234206,37931,506416304
79104,70.770004,218062,229075,26846,507318897
79232,72.137001,222621,230239,29754,508221489
79360,71.690002,220739,242867,33108,509117042
79488,73.263000,226271,243179,70515,510019637
79616,71.471001,225171,234050,30615,510915190
79744,71.608002,225017,241352,40685,511810742
79872,72.957001,240863,269293,60708,512699117
80000,71.891006,221499,251777,43488,513608888
80128,72.557983,235062,255219,39471,514511480
80256,72.339005,231708,266132,50089,515414073
80384,72.085007,226526,256939,37863,516309626
80512,72.208000,227416,259644,41015,517212218
80640,73.123001,235852,287217,46490,518107780
80768,73.448006,236051,270278,34275,519003332
80896,72.947006,232621,272228,28317,519891840
81024,74.070007,237264,267921,50169,520794441
81152,73.925003,237158,266547,42602,521689993
81280,73.377930,232428,249506,31361,522585535
81408,74.083000,235941,273157,39626,523474051
81536,73.398003,237950,255330,28008,524369600
81664,73.812004,239924,262254,36820,525258116
81792,74.449005,234679,249540,34825,526146622
81920,73.702003,228454,241715,34628,527027675
82048,74.028000,231458,266283,46234,527951390
82176,74.001007,228137,257518,46874,528868061
82304,74.251953,237105,256813,53004,529784732
82432,74.397003,235561,262325,47123,530694366
82560,75.454002,241977,271055,42184,531611037
82688,74.368004,234094,257846,33676,532520669
82816,74.854004,236138,262817,37752,533430300
82944,74.629005,232610,249837,36728,534332895
83072,74.852005,232780,255489,37110,535249706
83200,75.025002,238313,280736,64249,536159338
83328,75.778000,238153,277883,62935,537068970
83456,75.305000,235562,254923,40378,537971565
83584,75.271004,238203,254534,39504,538881197
83712,75.348007,235930,259740,26389,539783788
83840,75.405006,234044,250722,38519,540686379
83968,75.717003,238596,262450,49982,541581935
84096,75.746002,237641,258023,36533,542498749
84224,76.781006,241450,255166,42244,543408384
84352,76.071007,237280,260654,56630,544318013
84480,76.038002,236584,244982,36701,545220607
84608,76.194000,239041,252566,37154,546130239
84736,76.384003,239737,254593,40338,547032831
84864,76.638000,241435,272884,62794,547935424
84992,76.550003,239593,258915,41063,548830978
85120,76.687004,237720,250128,35672,549740749
85248,77.146004,245011,271787,46098,550643340
85376,77.161003,246039,277131,73883,551545934
85504,77.549927,246981,286382,52798,552441488
85632,77.104004,240833,252386,36142,553344078
85760,77.276001,241818,257061,35208,554239632
85888,77.694000,249758,263647,47297,555135441
86016,78.099007,249880,277342,39437,556023674
86144,77.894005,248630,282383,36890,556940487
86272,78.921005,249583,295599,54443,557850130
86400,78.108002,247250,287858,60741,558759751
86528,78.102966,249808,284356,34842,559662345
86656,78.146004,247734,275840,33734,560571976
